subject,path,file_count,status
sub-03,/home/fs0/xpsy1114/scratch/data/derivatives/sub-03/func/glm_fut-steps_split-buttons_pt01.feat,3,failed
sub-03,/home/fs0/xpsy1114/scratch/data/derivatives/sub-03/func/glm_fut-steps_split-buttons_pt01++.feat,1696,worked
sub-03,/home/fs0/xpsy1114/scratch/data/derivatives/sub-03/func/glm_fut-steps_split-buttons_pt01+.feat,3,failed
sub-03,/home/fs0/xpsy1114/scratch/data/derivatives/sub-03/func/glm_fut-steps_split-buttons_pt02.feat,3,failed
sub-03,/home/fs0/xpsy1114/scratch/data/derivatives/sub-03/func/glm_fut-steps_split-buttons_pt02++.feat,1665,worked
sub-03,/home/fs0/xpsy1114/scratch/data/derivatives/sub-03/func/glm_fut-steps_split-buttons_pt02+.feat,3,failed
sub-03,/home/fs0/xpsy1114/scratch/data/derivatives/sub-03/func/glm_fut-steps_states_split-buttons_pt01.feat,3,failed
sub-03,/home/fs0/xpsy1114/scratch/data/derivatives/sub-03/func/glm_fut-steps_states_split-buttons_pt01++.feat,1848,worked
sub-03,/home/fs0/xpsy1114/scratch/data/derivatives/sub-03/func/glm_fut-steps_states_split-buttons_pt01+.feat,3,failed
sub-03,/home/fs0/xpsy1114/scratch/data/derivatives/sub-03/func/glm_fut-steps_states_split-buttons_pt02.feat,3,failed
sub-03,/home/fs0/xpsy1114/scratch/data/derivatives/sub-03/func/glm_fut-steps_states_split-buttons_pt02++.feat,1817,worked
sub-03,/home/fs0/xpsy1114/scratch/data/derivatives/sub-03/func/glm_fut-steps_states_split-buttons_pt02+.feat,3,failed
sub-04,/home/fs0/xpsy1114/scratch/data/derivatives/sub-04/func/glm_all_paths-rews-split_buttons_pt01.feat,3,failed
sub-04,/home/fs0/xpsy1114/scratch/data/derivatives/sub-04/func/glm_all_paths-rews-split_buttons_pt01+.feat,3,failed
sub-04,/home/fs0/xpsy1114/scratch/data/derivatives/sub-04/func/glm_all_paths-rews-split_buttons_pt02.feat,3,failed
