5.2517	0.01	1
7.2372	0.01	1
9.2152	0.01	1
11.194	0.01	1
13.173	0.01	1
15.152	0.01	1
17.129	0.01	1
19.108	0.01	1
21.086	0.01	1
26.132	0.01	1
28.119	0.01	1
30.097	0.01	1
32.076	0.01	1
34.054	0.01	1
36.033	0.01	1
38.011	0.01	1
39.989	0.01	1
41.968	0.01	1
43.946	0.01	1
45.925	0.01	1
47.903	0.01	1
49.882	0.01	1
51.86	0.01	1
53.839	0.01	1
55.818	0.01	1
57.796	0.01	1
59.774	0.01	1
61.753	0.01	1
63.731	0.01	1
65.71	0.01	1
67.689	0.01	1
69.667	0.01	1
71.646	0.01	1
73.624	0.01	1
75.602	0.01	1
77.581	0.01	1
79.559	0.01	1
81.538	0.01	1
83.516	0.01	1
85.495	0.01	1
87.473	0.01	1
89.452	0.01	1
91.43	0.01	1
93.409	0.01	1
95.387	0.01	1
97.366	0.01	1
99.344	0.01	1
101.32	0.01	1
103.3	0.01	1
105.28	0.01	1
107.26	0.01	1
109.24	0.01	1
111.22	0.01	1
113.19	0.01	1
115.17	0.01	1
117.15	0.01	1
119.13	0.01	1
121.11	0.01	1
125.1	0.01	1
127.09	0.01	1
129.07	0.01	1
131.05	0.01	1
133.03	0.01	1
135.01	0.01	1
136.99	0.01	1
138.96	0.01	1
140.94	0.01	1
142.92	0.01	1
144.9	0.01	1
146.88	0.01	1
148.86	0.01	1
150.83	0.01	1
152.81	0.01	1
154.79	0.01	1
156.77	0.01	1
158.75	0.01	1
160.73	0.01	1
162.71	0.01	1
164.68	0.01	1
166.66	0.01	1
171.2	0.01	1
173.18	0.01	1
175.16	0.01	1
177.14	0.01	1
179.12	0.01	1
181.09	0.01	1
187.79	0.01	1
189.77	0.01	1
193.91	0.01	1
195.89	0.01	1
197.87	0.01	1
199.85	0.01	1
201.83	0.01	1
203.8	0.01	1
205.78	0.01	1
207.76	0.01	1
209.74	0.01	1
211.72	0.01	1
213.7	0.01	1
215.68	0.01	1
217.65	0.01	1
219.63	0.01	1
221.61	0.01	1
226.72	0.01	1
228.71	0.01	1
232.71	0.01	1
234.7	0.01	1
236.67	0.01	1
238.65	0.01	1
240.63	0.01	1
242.61	0.01	1
244.59	0.01	1
248.66	0.01	1
250.64	0.01	1
254.89	0.01	1
256.88	0.01	1
258.85	0.01	1
260.83	0.01	1
262.81	0.01	1
264.79	0.01	1
266.77	0.01	1
268.75	0.01	1
273.66	0.01	1
275.65	0.01	1
277.62	0.01	1
279.6	0.01	1
281.58	0.01	1
283.56	0.01	1
285.54	0.01	1
287.52	0.01	1
289.5	0.01	1
291.47	0.01	1
293.45	0.01	1
298.96	0.01	1
300.95	0.01	1
302.93	0.01	1
306.63	0.01	1
308.61	0.01	1
310.59	0.01	1
312.57	0.01	1
317.19	0.01	1
319.17	0.01	1
323.46	0.01	1
325.44	0.01	1
327.42	0.01	1
329.4	0.01	1
331.38	0.01	1
333.35	0.01	1
335.33	0.01	1
337.31	0.01	1
339.26	0.01	1
341.24	0.01	1
343.21	0.01	1
345.19	0.01	1
347.17	0.01	1
