Thu Apr  6 11:25:21 2023    ./profile

         260722 function calls (256219 primitive calls) in 11.308 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       26    0.013    0.001    0.024    0.001 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/internals/managers.py:2358(_merge_blocks)
       52    0.000    0.000    0.021    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/reshape/concat.py:146(concat)
      513    0.019    0.000    0.019    0.000 {method 'copy' of 'numpy.ndarray' objects}
       48    0.000    0.000    0.017    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/frame.py:1779(to_numpy)
       48    0.008    0.000    0.017    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/internals/managers.py:1718(as_array)
       22    0.000    0.000    0.015    0.001 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/frame.py:5248(drop)
       22    0.000    0.000    0.015    0.001 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/generic.py:4475(drop)
       52    0.000    0.000    0.015    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/reshape/concat.py:565(get_result)
       22    0.000    0.000    0.015    0.001 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/generic.py:4512(_drop_axis)
      196    0.015    0.000    0.015    0.000 {method 'reduce' of 'numpy.ufunc' objects}
       52    0.000    0.000    0.014    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/internals/concat.py:176(concatenate_managers)
     6675    0.013    0.000    0.013    0.000 {built-in method numpy.array}
     3088    0.002    0.000    0.012    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/scipy/signal/_signaltools.py:1156(choose_conv_method)
       26    0.000    0.000    0.011    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/numpy/lib/twodim_base.py:376(tri)
       26    0.011    0.000    0.011    0.000 {method 'outer' of 'numpy.ufunc' objects}
       26    0.000    0.000    0.010    0.000 <__array_function__ internals>:177(vstack)
      121    0.000    0.000    0.010    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/dtypes/missing.py:108(isna)
       26    0.000    0.000    0.010    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/numpy/core/shape_base.py:222(vstack)
      121    0.000    0.000    0.010    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/dtypes/missing.py:191(_isna)
       96    0.009    0.000    0.009    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/dtypes/missing.py:268(_isna_array)
     1103    0.000    0.000    0.009    0.000 <__array_function__ internals>:177(where)
       24    0.000    0.000    0.009    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/computation/expressions.py:245(where)
       24    0.000    0.000    0.009    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/computation/expressions.py:175(_where_numexpr)
       23    0.000    0.000    0.008    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/computation/expressions.py:170(_where_standard)
       48    0.000    0.000    0.008    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/internals/managers.py:776(_slice_take_blocks_ax0)
       26    0.000    0.000    0.008    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/internals/managers.py:691(reindex_indexer)
       12    0.000    0.000    0.008    0.001 <__array_function__ internals>:177(average)
       12    0.000    0.000    0.008    0.001 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/numpy/lib/function_base.py:396(average)
      278    0.008    0.000    0.008    0.000 {method 'cumsum' of 'numpy.ndarray' objects}
       12    0.000    0.000    0.007    0.001 {method 'mean' of 'numpy.ndarray' objects}
       89    0.000    0.000    0.007    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/array_algos/take.py:57(take_nd)
       12    0.000    0.000    0.007    0.001 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/numpy/core/_methods.py:163(_mean)
       89    0.000    0.000    0.007    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/array_algos/take.py:120(_take_nd_ndarray)
       26    0.000    0.000    0.007    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/internals/blocks.py:861(take_nd)
     1317    0.007    0.000    0.007    0.000 {built-in method builtins.sum}
       22    0.007    0.000    0.007    0.000 {pandas._libs.algos.take_2d_axis0_float64_float64}
       31    0.000    0.000    0.006    0.000 {method 'sum' of 'numpy.ndarray' objects}
       31    0.000    0.000    0.006    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/numpy/core/_methods.py:46(_sum)
     3088    0.001    0.000    0.006    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/scipy/signal/_signaltools.py:1054(_fftconv_faster)
       11    0.000    0.000    0.006    0.001 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/indexing.py:806(__setitem__)
       11    0.000    0.000    0.006    0.001 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/indexing.py:1658(_setitem_with_indexer)
       11    0.000    0.000    0.006    0.001 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/indexing.py:1799(_setitem_with_indexer_split_path)
       11    0.000    0.000    0.006    0.001 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/indexing.py:1908(_setitem_with_indexer_frame_value)
        2    0.001    0.000    0.006    0.003 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/scipy/stats/_stats_py.py:5154(count_rank_tie)
      288    0.000    0.000    0.006    0.000 <__array_function__ internals>:177(kron)
       22    0.000    0.000    0.006    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/indexes/base.py:6944(drop)
       52    0.000    0.000    0.006    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/reshape/concat.py:389(__init__)
      288    0.002    0.000    0.006    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/numpy/lib/shape_base.py:1073(kron)
       86    0.000    0.000    0.005    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/indexes/base.py:3889(get_indexer)
        2    0.000    0.000    0.005    0.003 <__array_function__ internals>:177(bincount)
      256    0.001    0.000    0.005    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/frame.py:608(__init__)
     3088    0.004    0.000    0.005    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/scipy/signal/_signaltools.py:1011(_conv_ops)
       52    0.000    0.000    0.005    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/reshape/concat.py:631(_get_new_axes)
       52    0.000    0.000    0.005    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/reshape/concat.py:633(<listcomp>)
       44    0.000    0.000    0.004    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/indexing.py:1957(_setitem_single_column)
       66    0.000    0.000    0.004    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/indexing.py:1059(__getitem__)
     1152    0.000    0.000    0.003    0.000 <__array_function__ internals>:177(expand_dims)
       66    0.000    0.000    0.003    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/indexing.py:1561(_getitem_tuple)
19380/18926    0.002    0.000    0.003    0.000 {built-in method builtins.isinstance}
