Thu Apr  6 13:17:00 2023    ./profile_1

         360361 function calls (353498 primitive calls) in 6.524 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      112    0.000    0.000    0.050    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/internals/managers.py:1861(_consolidate_inplace)
       62    0.000    0.000    0.048    0.001 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/internals/managers.py:2316(_consolidate)
      188    0.000    0.000    0.046    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/internals/managers.py:675(consolidate)
       40    0.000    0.000    0.046    0.001 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/frame.py:5248(drop)
       40    0.000    0.000    0.046    0.001 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/generic.py:4475(drop)
       40    0.000    0.000    0.045    0.001 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/generic.py:4512(_drop_axis)
       82    0.024    0.000    0.044    0.001 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/internals/managers.py:2358(_merge_blocks)
        1    0.041    0.041    0.041    0.041 {scipy.stats._stats._kendall_dis}
     7014    0.039    0.000    0.039    0.000 {built-in method numpy.array}
       24    0.011    0.000    0.034    0.001 /Users/xpsy1114/Documents/projects/multiple_clocks/multiple_clocks_repo/mc/simulation/predictions.py:132(set_clocks_bytime)
       70    0.000    0.000    0.033    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/reshape/concat.py:146(concat)
       44    0.000    0.000    0.033    0.001 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/numpy/lib/twodim_base.py:376(tri)
       44    0.032    0.001    0.032    0.001 {method 'outer' of 'numpy.ufunc' objects}
       20    0.000    0.000    0.028    0.001 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/indexing.py:806(__setitem__)
       20    0.000    0.000    0.027    0.001 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/indexing.py:1658(_setitem_with_indexer)
       20    0.000    0.000    0.027    0.001 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/indexing.py:1799(_setitem_with_indexer_split_path)
       20    0.000    0.000    0.027    0.001 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/indexing.py:1908(_setitem_with_indexer_frame_value)
       70    0.000    0.000    0.023    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/reshape/concat.py:565(get_result)
      120    0.001    0.000    0.022    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/internals/managers.py:691(reindex_indexer)
       40    0.000    0.000    0.022    0.001 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/indexes/base.py:6944(drop)
      215    0.001    0.000    0.022    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/indexes/base.py:3889(get_indexer)
       32    0.000    0.000    0.021    0.001 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/computation/expressions.py:245(where)
       32    0.000    0.000    0.021    0.001 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/computation/expressions.py:175(_where_numexpr)
     1166    0.000    0.000    0.021    0.000 <__array_function__ internals>:177(where)
      160    0.001    0.000    0.021    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/internals/managers.py:776(_slice_take_blocks_ax0)
       70    0.001    0.000    0.021    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/internals/concat.py:176(concatenate_managers)
       80    0.000    0.000    0.021    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/indexing.py:1957(_setitem_single_column)
       30    0.000    0.000    0.020    0.001 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/computation/expressions.py:170(_where_standard)
      905    0.019    0.000    0.019    0.000 {method 'copy' of 'numpy.ndarray' objects}
       80    0.000    0.000    0.019    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/frame.py:4152(_iset_item)
      510    0.016    0.000    0.017    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/generic.py:5904(__setattr__)
       39    0.000    0.000    0.017    0.000 {method 'sum' of 'numpy.ndarray' objects}
       39    0.000    0.000    0.017    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/numpy/core/_methods.py:46(_sum)
