Thu Apr  6 11:46:54 2023    ./profile_2

         188249 function calls (185691 primitive calls) in 1.000 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.036    0.036    1.000    1.000 /Users/xpsy1114/Documents/projects/multiple_clocks/multiple_clocks_repo/mc/simulation/optimise.py:192(optimise_several_task_configs)
7322/5734    0.037    0.000    0.677    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
       24    0.010    0.000    0.568    0.024 /Users/xpsy1114/Documents/projects/multiple_clocks/multiple_clocks_repo/mc/simulation/predictions.py:392(convolve_with_hrf)
     3143    0.003    0.000    0.556    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/scipy/signal/_signaltools.py:1294(convolve)
     3143    0.001    0.000    0.539    0.000 <__array_function__ internals>:177(convolve)
     3143    0.002    0.000    0.538    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/numpy/core/numeric.py:754(convolve)
     3143    0.535    0.000    0.535    0.000 {built-in method numpy.core._multiarray_umath.correlate}
        1    0.069    0.069    0.163    0.163 /Users/xpsy1114/Documents/projects/multiple_clocks/multiple_clocks_repo/mc/simulation/RDMs.py:224(corr_matrices_pearson)
        1    0.070    0.070    0.141    0.141 /Users/xpsy1114/Documents/projects/multiple_clocks/multiple_clocks_repo/mc/simulation/RDMs.py:204(corr_matrices_kendall)
13041/13020    0.133    0.000    0.133    0.000 {built-in method numpy.asarray}
        3    0.000    0.000    0.125    0.042 <__array_function__ internals>:177(corrcoef)
        3    0.005    0.002    0.125    0.042 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/numpy/lib/function_base.py:2713(corrcoef)
        3    0.000    0.000    0.113    0.038 <__array_function__ internals>:177(cov)
        3    0.006    0.002    0.112    0.037 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/numpy/lib/function_base.py:2486(cov)
        1    0.000    0.000    0.061    0.061 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/scipy/stats/_stats_py.py:5018(kendalltau)
        2    0.000    0.000    0.041    0.021 /Users/xpsy1114/Documents/projects/multiple_clocks/multiple_clocks_repo/mc/simulation/RDMs.py:41(df_based_RDM)
       24    0.011    0.000    0.031    0.001 /Users/xpsy1114/Documents/projects/multiple_clocks/multiple_clocks_repo/mc/simulation/predictions.py:132(set_clocks_bytime)
        3    0.000    0.000    0.027    0.009 <__array_function__ internals>:177(dot)
    61/56    0.000    0.000    0.019    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/util/_decorators.py:323(wrapper)
        4    0.000    0.000    0.018    0.004 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/numpy/lib/twodim_base.py:900(tril_indices)
       12    0.015    0.001    0.015    0.001 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/numpy/lib/twodim_base.py:980(<genexpr>)
     3143    0.003    0.000    0.013    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/scipy/signal/_signaltools.py:1156(choose_conv_method)
       30    0.000    0.000    0.010    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/reshape/concat.py:146(concat)
       26    0.000    0.000    0.008    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/frame.py:5621(fillna)
       26    0.000    0.000    0.008    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/generic.py:6674(fillna)
      270    0.000    0.000    0.008    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/numpy/core/fromnumeric.py:51(_wrapfunc)
     1251    0.007    0.000    0.007    0.000 {built-in method builtins.sum}
        3    0.000    0.000    0.007    0.002 <__array_function__ internals>:177(clip)
        3    0.000    0.000    0.007    0.002 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/numpy/core/fromnumeric.py:2085(clip)
        3    0.000    0.000    0.007    0.002 {method 'clip' of 'numpy.ndarray' objects}
        3    0.000    0.000    0.007    0.002 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/numpy/core/_methods.py:126(_clip)
        3    0.007    0.002    0.007    0.002 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/numpy/core/_methods.py:107(_clip_dep_invoke_with_casting)
     3143    0.001    0.000    0.007    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/scipy/signal/_signaltools.py:1054(_fftconv_faster)
       30    0.000    0.000    0.006    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/reshape/concat.py:565(get_result)
      288    0.000    0.000    0.006    0.000 <__array_function__ internals>:177(kron)
       28    0.000    0.000    0.006    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/internals/managers.py:301(apply)
      288    0.002    0.000    0.006    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/numpy/lib/shape_base.py:1073(kron)
       26    0.000    0.000    0.006    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/internals/managers.py:433(fillna)
      159    0.000    0.000    0.006    0.000 <__array_function__ internals>:177(concatenate)
       26    0.001    0.000    0.006    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/internals/blocks.py:1163(fillna)
     3143    0.004    0.000    0.005    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/scipy/signal/_signaltools.py:1011(_conv_ops)
       30    0.000    0.000    0.005    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/internals/concat.py:176(concatenate_managers)
       30    0.000    0.000    0.004    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/reshape/concat.py:389(__init__)
       13    0.001    0.000    0.004    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/internals/blocks.py:1052(where)
       75    0.004    0.000    0.004    0.000 {method 'reduce' of 'numpy.ufunc' objects}
     1152    0.000    0.000    0.004    0.000 <__array_function__ internals>:177(expand_dims)
      270    0.003    0.000    0.003    0.000 {method 'copy' of 'numpy.ndarray' objects}
       30    0.000    0.000    0.003    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/reshape/concat.py:631(_get_new_axes)
       30    0.000    0.000    0.003    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/reshape/concat.py:633(<listcomp>)
      106    0.000    0.000    0.003    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/frame.py:608(__init__)
