rank,vec_index,row,col,label_row,label_col,contribution
53,2694,48,79,"D1_backw_A_path with D2_forw_A_path","E1_forw_D_reward with E2_backw_D_reward",2.1720982318092315
54,2820,53,65,"D1_backw_C_reward with D2_forw_C_reward","E1_backw_A_reward with E2_forw_A_reward",2.1628003232431388
55,2734,50,60,"D1_backw_B_path with D2_forw_B_path","D1_forw_C_path with D2_backw_C_path",2.147696128201017
56,927,12,58,"A1_forw_C_path with A2_backw_C_path","D1_forw_B_path with D2_backw_B_path",2.136661110533978
57,1808,27,54,"B1_forw_B_reward with B2_backw_B_reward","D1_backw_D_path with D2_forw_D_path",2.1097876735906236
58,2769,51,67,"D1_backw_B_reward with D2_forw_B_reward","E1_backw_B_reward with E2_forw_B_reward",2.105419256216137
59,1752,26,50,"B1_forw_B_path with B2_backw_B_path","D1_backw_B_path with D2_forw_B_path",2.094196748954274
60,2505,43,55,"C1_forw_B_reward with C2_backw_B_reward","D1_backw_D_reward with D2_forw_D_reward",2.0888726578008456
61,2175,35,41,"C1_backw_B_reward with C2_forw_B_reward","C1_forw_A_reward with C2_backw_A_reward",2.069953860714851
62,2995,61,68,"D1_forw_C_reward with D2_backw_C_reward","E1_backw_C_path with E2_forw_C_path",2.068973934890605
63,2784,52,55,"D1_backw_C_path with D2_forw_C_path","D1_backw_D_reward with D2_forw_D_reward",2.065638513726551
64,2618,46,66,"C1_forw_D_path with C2_backw_D_path","E1_backw_B_path with E2_forw_B_path",2.0494044969350567
65,2886,56,59,"D1_forw_A_path with D2_backw_A_path","D1_forw_B_reward with D2_backw_B_reward",2.048667219108582
66,1274,18,24,"B1_backw_B_path with B2_forw_B_path","B1_forw_A_path with B2_backw_A_path",2.0438980822538655
67,80,1,3,"A1_backw_A_reward with A2_forw_A_reward","A1_backw_B_reward with A2_forw_B_reward",2.0218488680339477
68,854,11,52,"A1_forw_B_reward with A2_backw_B_reward","D1_backw_C_path with D2_forw_C_path",2.010193318719481
69,2599,46,47,"C1_forw_D_path with C2_backw_D_path","C1_forw_D_reward with C2_backw_D_reward",2.0086792291542745
70,1067,14,67,"A1_forw_D_path with A2_backw_D_path","E1_backw_B_reward with E2_forw_B_reward",1.9960965593399844
