square,location,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,grid_lines.started,key_next.started,target_reward.started,target_reward.stopped,grid_lines.stopped,key_next.keys,key_next.rt,participant,session,date,expName,psychopyVersion,frameRate,
3,"[0.2, 0.2]",0,0,0,2,12.993249667000782,12.993249667000782,13.46485708399996,14.46455483400132,14.988618667000992,space,3.4154339999986405,089766,001,2023-02-16_16h41.00.472,collect_rewards_grid,2022.2.5,None,
6,"[0.2, 0]",0,1,1,5,16.448307042002853,16.448307042002853,16.925171209000837,17.927813709000475,,space,1.6219507069981773,089766,001,2023-02-16_16h41.00.472,collect_rewards_grid,2022.2.5,None,
4,"[-0.2, 0]",0,2,2,3,18.083373542001937,18.083373542001937,18.56600845900175,,,space,1.1811573329978273,089766,001,2023-02-16_16h41.00.472,collect_rewards_grid,2022.2.5,None,
4,"[-0.2, 0]",0,3,3,9,19.2807475840018,19.2807475840018,19.768674375001865,,,space,0.9861024579986406,089766,001,2023-02-16_16h41.00.472,collect_rewards_grid,2022.2.5,None,
9,"[0.2, -0.2]",0,4,4,8,20.28872075000254,20.28872075000254,20.78007137500026,,,space,0.9345416659962211,089766,001,2023-02-16_16h41.00.472,collect_rewards_grid,2022.2.5,None,
5,"[0, 0]",0,5,5,4,21.23482425000111,21.23482425000111,21.730425875000947,,,space,0.8229899579964695,089766,001,2023-02-16_16h41.00.472,collect_rewards_grid,2022.2.5,None,
1,"[-0.2, 0.2]",0,6,6,0,22.06868675000078,22.06868675000078,22.55883625000206,,,space,0.8848073740009568,089766,001,2023-02-16_16h41.00.472,collect_rewards_grid,2022.2.5,None,
7,"[-0.2, -0.2]",0,7,7,10,22.96336120900014,22.96336120900014,23.45437091700296,,,space,0.8784652499998629,089766,001,2023-02-16_16h41.00.472,collect_rewards_grid,2022.2.5,None,
8,"[0, -0.2]",0,8,8,7,23.848321709003358,23.848321709003358,24.330590584002493,,,space,0.8267833329991845,089766,001,2023-02-16_16h41.00.472,collect_rewards_grid,2022.2.5,None,
2,"[0, 0.2]",0,9,9,1,24.687342334000277,24.687342334000277,25.17228929200064,,,space,0.8066412910011422,089766,001,2023-02-16_16h41.00.472,collect_rewards_grid,2022.2.5,None,
1,"[-0.2, 0.2]",0,10,10,11,25.500502167000377,25.500502167000377,25.982802167000045,,,space,0.8017748749989551,089766,001,2023-02-16_16h41.00.472,collect_rewards_grid,2022.2.5,None,
7,"[-0.2, -0.2]",0,11,11,6,26.31047800000306,26.31047800000306,26.804705792001187,,,space,0.8549107489961898,089766,001,2023-02-16_16h41.00.472,collect_rewards_grid,2022.2.5,None,
