square,location,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,grid_lines.started,key_next.started,target_reward.started,target_reward.stopped,grid_lines.stopped,key_next.keys,key_next.rt,participant,session,date,expName,psychopyVersion,frameRate,
1,"[-0.2, 0.2]",0,0,0,0,13.427183749998221,13.427183749998221,13.90150654199897,14.893499541998608,15.418621791999612,right,3.805407498999557,438906,001,2023-02-16_16h40.09.546,collect_rewards_grid,2022.2.5,None,
8,"[0, -0.2]",0,1,1,7,17.292110834001505,17.292110834001505,17.78496033400006,18.771261999998387,,right,1.9222887079995417,438906,001,2023-02-16_16h40.09.546,collect_rewards_grid,2022.2.5,None,
4,"[-0.2, 0]",0,2,2,3,19.22672225000133,19.22672225000133,19.707222708999325,,,right,1.0427329580015794,438906,001,2023-02-16_16h40.09.546,collect_rewards_grid,2022.2.5,None,
2,"[0, 0.2]",0,3,3,1,20.27826429199922,20.27826429199922,20.77442187500128,,,right,0.9056752910000796,438906,001,2023-02-16_16h40.09.546,collect_rewards_grid,2022.2.5,None,
6,"[0.2, 0]",0,4,4,5,21.19199695899806,21.19199695899806,21.682351874998858,,,right,0.8032027490007749,438906,001,2023-02-16_16h40.09.546,collect_rewards_grid,2022.2.5,None,
7,"[-0.2, -0.2]",0,5,5,10,22.00888487499833,22.00888487499833,22.49927262499841,,,right,0.7255145410017576,438906,001,2023-02-16_16h40.09.546,collect_rewards_grid,2022.2.5,None,
,,,,,,22.741142499999114,22.741142499999114,23.2330127919995,24.234827917000075,24.74306041700038,,,,,,,,,
